neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
10,111,0,64,1,192,1,312
4,2,0,100,4,44,1,214
4,121,0,64,6,3,1,0
1,118,0,80,3,72,1,30
6,94,0,38,150,3,1,153
6,49,0,65,60,296,2,264
0,79,0,80,4,15,3,0
9,1,0,80,4,3,3,0
6,95,0,68,2,166,1,219
11,109,0,99,2,2,4,0
10,110,1,40,3,37,1,62
1,118,1,38,2,26,2,313
0,79,0,70,30,3,1,159
1,32,0,85,3,8,1,0
4,121,0,39,6,9,1,0
6,98,0,79,1,2,1,0
10,111,0,50,1,8,1,260
1,118,1,69,20,15,1,0
11,11,0,59,3,110,1,42
11,109,0,60,2,1,4,0
4,17,0,120,3,5,1,248
4,2,1,50,1,2,1,0
5,105,0,70,7,6,1,323
6,95,1,30,1,10,1,0
0,57,0,75,3,29,2,329
6,94,0,46,2,146,2,297
5,102,0,60,10,15,1,0
1,53,0,75,3,18,2,12
6,49,1,33,1,123,1,324
1,32,0,50,2,22,1,0
8,37,1,49,2,50,1,273
11,50,0,50,30,35,1,341
6,98,1,46,1,418,2,249
6,97,1,30,2,358,1,107
4,74,1,120,2,6,1,0
6,98,0,48,3,6,1,0
1,134,1,15,1,2,1,0
1,32,0,65,2,38,2,0
10,110,0,23,93,76,1,109
1,118,0,45,7,24,1,30
10,110,0,76,4,117,3,284
6,98,0,70,3,37,1,0
2,76,0,30,3,3,1,0
5,103,0,50,3,24,2,342
1,118,1,22,2,357,1,247
6,95,1,30,30,23,2,98
4,18,0,45,2,7,1,0
5,101,0,100,3,103,1,184
1,118,1,50,2,46,2,0
6,97,1,33,2,20,1,0
5,102,0,55,60,86,1,289
6,98,0,48,60,36,2,321
5,103,0,60,3,29,2,343
0,130,1,25,3,25,2,143
9,62,0,70,3,11,1,265
5,105,1,50,3,5,1,0
4,73,0,65,3,99,1,59
1,118,0,35,6,4,1,0
4,2,0,160,4,61,2,26
0,42,0,140,4,43,2,69
1,118,0,70,14,3,2,0
1,134,0,70,2,9,1,0
7,87,1,31,1,19,3,364
4,18,0,65,5,7,1,0
1,118,0,98,30,74,3,353
1,135,0,120,60,54,1,310
1,135,1,76,5,47,1,0
4,92,0,80,8,9,2,0
4,2,1,44,4,67,1,242
1,30,0,75,3,59,1,306
1,118,0,95,3,19,1,190
5,101,0,235,2,26,3,9
4,2,0,100,3,17,1,2
2,6,0,37,2,116,1,341
4,2,0,62,1,276,1,114
6,96,0,80,3,45,2,361
5,101,0,45,3,13,1,0
6,49,0,60,6,30,1,0
1,32,1,36,3,49,1,0
5,101,0,85,3,44,1,0
4,2,0,55,93,110,1,217
1,32,1,35,2,7,1,0
4,17,1,24,3,7,1,0
7,87,1,49,2,17,3,0
11,4,0,99,3,29,1,331
4,18,0,100,4,9,1,0
1,118,1,35,2,10,4,5
6,98,1,30,6,52,1,9
1,135,0,109,5,13,1,0
1,135,1,34,3,34,1,13
1,118,0,35,5,2,1,0
6,98,1,102,1,150,1,325
5,101,1,29,4,2,1,0
5,101,0,69,2,15,1,67
1,30,1,45,3,79,1,346
5,80,1,19,1,66,1,0
6,49,0,85,4,10,3,0
0,27,0,39,2,42,1,90
4,18,0,89,2,69,1,1
5,105,0,40,4,1,1,0
6,49,0,65,4,2,1,0
6,95,0,45,7,4,1,0
6,98,1,43,1,459,3,271
1,135,0,95,4,66,1,22
1,53,1,50,14,106,1,80
6,49,0,69,4,139,1,7
6,122,1,27,3,87,1,128
10,110,0,39,15,3,1,0
6,97,0,120,5,24,1,20
1,118,1,35,2,122,1,362
4,73,0,75,61,55,2,108
5,80,0,80,2,5,1,0
0,51,1,40,14,12,3,0
1,118,0,200,3,10,2,0
10,111,0,50,65,31,1,253
5,101,1,25,1,5,1,0
1,135,0,78,2,16,1,310
1,115,1,37,3,47,1,59
1,115,0,75,1,18,2,0
5,101,1,50,5,24,1,309
1,115,1,33,1,39,2,0
4,2,0,208,6,5,1,0
6,97,0,80,10,5,2,88
0,120,1,45,1,104,1,227
10,110,1,68,2,38,1,0
6,96,1,20,2,97,1,0
5,105,0,35,10,4,1,0
4,18,0,79,3,62,2,335
4,73,0,44,4,50,2,234
6,97,0,50,2,19,1,0
1,118,0,78,2,20,1,2
4,73,0,95,3,6,1,0
5,105,1,55,4,35,1,0
4,119,0,125,3,171,1,241
1,118,0,78,3,106,1,50
1,118,0,55,4,4,1,0
6,123,1,34,2,100,1,218
1,118,0,100,4,2,1,0
10,111,0,35,3,170,1,0
6,95,0,59,3,9,1,298
1,135,0,100,10,18,4,5
1,118,0,38,62,173,2,289
